stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,4.09,24.52,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,7.49,2.14,2.14,0,1.07,0,0,0,0,0,0,0,3.21,3.21,0,7.49,0,2.14,1.07,41.72,31.02,0,0,10.7,0,0,3.21,4.28,1.07,1.07,0,0
21Day,6.69,0,0,14.72,0,2.68,0,2.68,0,0,0,1.34,0,4.02,2.68,0,10.71,0,9.37,0,0,4.02,8.03,6.69,0,0,8.03,1.34,1.34,1.34,12.05,2.68,1.34,0,4.02
3Month,0,0.64,0.32,6.4,0,0,0.32,0.32,5.76,2.24,0,18.88,1.92,0,4.16,0.96,0.96,3.52,0.96,0.64,0,0.96,0.64,0.64,0.32,0,0,0.32,12.48,0,0,0,0,0.96,3.2
22Month,0,0,0,1.09,0,0,0,1.09,3.28,19.13,1.64,39.91,1.09,1.64,4.37,0,0.55,4.37,3.83,0,0.55,0,0.55,0.55,0,0.55,0,0.55,0.55,0,0.55,0,0,0,0.55
