stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,5.35,4.28,0,0,0,2.14,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,1.34,0,1.34,4.02,1.34,1.34,2.68,0,0
3Month,0,0.32,0.32,1.6,0,0.32,0,1.6,0.64,0.64,0,0.64,0.32,0.32,0.32,0,0,0,0,7.04,0,18.24
22Month,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
