stage,Cardiomyocyte,Erythrocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,4.09,4.09,0
72hpf,1.07,0,1.07,6.42,1.07,1.07
21Day,0,1.34,0,2.68,0,0
