stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,8.17,0,8.17,0,0,0,0,0,8.17,4.09,57.21,0,0,0
72hpf,0,0,0,0,0,0,1.07,1.07,4.28,7.49,6.42,2.14,0,0
21Day,0,1.34,2.68,0,1.34,0,0,1.34,1.34,1.34,2.68,1.34,1.34,1.34
3Month,0,0,0,0.64,0,0.32,0.32,0,0.32,0,0,0,0,0.32
22Month,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
