stage,Enterocyte,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,4.09,0,0,0,4.09
72hpf,0,1.07,1.07,0,1.07,2.14,0
21Day,1.34,0,0,2.68,0,0,0
