stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,4.28,0,0,0,0,0,0,0
21Day,0,0,2.68,1.34,0,0,0,5.35,0,2.68,2.68,0,0,2.68,0,0,0,2.68,0,0,26.77
3Month,0.32,0.64,0,0,2.56,1.6,10.56,0.32,0.32,0.64,0.32,0,0.32,0,0.64,0.32,0.32,0,0.64,0.32,3.84
22Month,0,0,0,0,1.09,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28
