stage,Epithelial_cell,Hepatocyte,Ionocyte,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,1.07,2.14,0,0
21Day,1.34,4.02,0,1.34,0,0
3Month,0,0.64,0,0,0.32,0.64
22Month,0,0,0,0,0.55,0
