stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,4.09,0,4.09,0,0,0,20.43,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0
3Month,0,0.32,1.28,0.32,1.92,0.32,0.32,0.32,0,0.32,0.64,0,0,5.44,0.32,21.12,0.64
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0,0,6.56,0,0,0
