stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,8.17,0,0,0,4.09,0,0,0,4.09,0,0,28.6,0,4.09,478.11,8.17,0,0,0,0
72hpf,1.07,0,2.14,1.07,0,0,0,0,0,0,0,1.07,0,9.63,1.07,1.07,18.19,3.21,0,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,5.35,0,0,5.35,1.34,0,0,0,1.34
3Month,0,0,0.32,0,0,0,0,0.96,0.32,1.28,0,0,0,0,0,0,0.64,0,0,0,0.32,1.6
22Month,0,0.55,0.55,0,0.55,1.09,0,3.28,0,2.73,0,0.55,0.55,0.55,0,0,0,0,1.09,2.19,0.55,0
