stage,Endothelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Oligodendrocyte
21Day,0,0,0,5.35,0,1.34
3Month,0.64,0,0,0.96,0.64,0
22Month,0,0.55,0.55,0.55,0,0
