stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Fibroblast,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,57.21,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,3.21,1.07,0,0,4.28,0,0,2.14,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,12.05,0,0,2.68,0,0,0,2.68,0,1.34,0,0,0
3Month,0,0.32,1.28,0.32,0,2.24,0.64,0,0.96,0.32,0.64,0.64,1.92,0.96,0,0,0,0.32,0,0,1.28,2.88,0,0.64,0.64
22Month,0,0,1.09,0,0.55,12.57,0,0.55,0.55,0,0,0,0,0,0.55,0,0,0,0.55,0,0,7.65,0,0,0.55
