stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Primordial_germ_cell,T_cell
72hpf,0,0,1.07,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0.32,0.32,0.64,0.32,0.32,0,2.24,0.32,0
22Month,0.55,0,4.92,0,0,0,0.55,0,0,0.55
