stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,2.14,0,0,0,0,0,0,0,0,0,1.07,0,4.28,0,1.07,13.91,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37,0,0,0,0,0,1.34,0,0
3Month,0,0,0.64,0,0,0,4.48,1.28,0.96,0.96,0.64,1.28,0.64,0,0.64,0.32,0,0.32,0.64,2.56,0,0,0.32,0.32
22Month,0,0.55,1.09,0.55,0.55,0.55,13.67,0,0.55,0,0,1.09,0,0.55,0,0,0,0,0.55,0.55,0.55,0,0,0
