stage,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
72hpf,0,0,0,0,21.4,1.07,0
21Day,0,0,0,0,9.37,0,0
3Month,0,0,0,0.32,0.32,0,0.32
22Month,0.55,4.37,0.55,0,0,0,0
