stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,3.21,0,0,0,0,0,0,0,0,0,1.07,0,4.28,1.07,0,8.56,16.05,0,2.14,0,0,2.14,0,0,0
21Day,2.68,0,0,1.34,0,0,0,1.34,0,0,0,0,2.68,8.03,4.02,0,0,1.34,1.34,0,1.34,0,0,1.34,0,0,0
3Month,0,0.32,5.12,0,0,3.2,0,0.64,0.64,0,1.92,0.32,0.96,18.24,0.64,0,0.64,0,0,0.64,0,0.64,1.28,0,0.32,2.56,0.64
22Month,0,0.55,2.73,0,0.55,2.73,0.55,9.29,0.55,0.55,2.19,0.55,1.09,102.22,1.64,2.19,0,0.55,0,0.55,0,0,0.55,0,0,0,0
