stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,T_cell
3Month,0,1.92,0,0,0,0,1.28,0.32,0.32,0.64,0,0.32,0,0,0,0.32,0.64,0,0.32
22Month,0.55,28.43,0.55,0.55,2.73,0.55,20.23,1.64,3.28,2.73,2.73,2.19,0.55,1.09,0.55,0,0.55,0.55,1.09
