stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,1.07,0,0,1.07,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,5.35,2.68,0,1.34,0,0,1.34,0,1.34,0,0,0,0,1.34,0,0,0
3Month,0.32,1.92,24.64,0.32,0,9.6,0.96,2.88,0.96,47.03,1.28,0.64,0.64,0.96,9.92,5.12,1.28,3.84,0,0,0.32,14.4,0,0.32,12.8,0.64
22Month,0,2.73,9.29,0,0.55,3.28,0,14.21,0,45.92,1.09,0,0.55,0.55,6.56,0.55,0,3.83,1.09,0,0,6.01,0,0,0,0.55
