stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,4.09,0,0,0,0,8.17,8.17,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,1.07,0,0,1.07,0,0,0,1.07,3.21,3.21,4.28,0,0,0,2.14,6.42,0,0,1.07,0,1.07,1.07,0,0,0
21Day,0,1.34,24.09,1.34,5.35,0,0,0,1.34,1.34,1.34,0,13.39,9.37,5.35,0,1.34,1.34,1.34,1.34,0,0,1.34,0,0,1.34,0,0,2.68
3Month,0,0,3.52,0,0,0.64,2.24,3.52,0.96,0,0.64,0,0.32,2.24,0.64,0,0,0,0,0,0,0,0,0.64,0,0.32,0.32,0.32,1.28
22Month,0,0,3.28,0,0,0.55,2.73,10.39,0,0.55,5.47,0,0,3.28,1.09,0.55,0,0,0,0,0.55,0.55,0,0,0.55,0,0,0,0
