stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,93.99,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,4.28,0,3.21,0,0,0,73.82,14.98,0,0,6.42,0,0,1.07,0,1.07,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,1.34,0,0,1.34,2.68,1.34,0,1.34,0,26.77,9.37,0,1.34,2.68,2.68,0,0,0,0,0,0,0
3Month,0,0,1.6,0,0,0.32,0.32,0.32,4.8,0.64,0,0.96,0.32,0.64,0,1.28,0.32,0.32,0.64,0,0.64,0.32,0,0,0,6.4,0,0.32,0,0.32,4.16,0.64
22Month,0,0.55,0,0,0,0,0,0,5.47,0.55,0,2.19,0,0.55,1.64,0.55,0,0,0,0,0,0,0,0,0.55,2.19,0,0,0,0,0,0
