stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,61.3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,13.91,9.63,0,0,0,0,0,0,3.21,9.63,17.12,0,0,0
21Day,0,0,0,2.68,2.68,4.02,0,0,0,0,0,0,0,2.68,0,1.34,1.34,1.34,4.02,0,0,0,0,6.69,13.39,0,0,0,4.02,1.34,1.34,5.35,69.6,329.28,2.68,0,0
3Month,0,0.96,0,18.56,1.6,0,0.32,1.28,0.64,0,0,9.92,1.92,0,0.96,1.6,0.64,2.88,2.24,0.96,0,2.56,0,0.32,0,5.12,0,0,0,0.96,63.35,0.32,0,0.64,39.99,28.48,1.28
22Month,1.09,7.11,1.09,18.59,0.55,0,0.55,1.09,4.92,37.72,0,53.03,3.28,1.09,3.28,0.55,1.64,1.64,8.75,0,1.64,3.28,0.55,0.55,0.55,7.65,0.55,218.12,0,0,60.68,0.55,3.28,0.55,8.2,0.55,3.83
