stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,44.95,4.09,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,12.26,4.09,0,0,0,0,0,0,0,0,0
72hpf,7.49,3.21,0,1.07,3.21,7.49,0,0,0,0,0,0,0,0,1.07,1.07,3.21,0,0,88.79,4.28,0,0,2.14,0,0,1.07,0,0,0
21Day,5.35,4.02,1.34,1.34,2.68,8.03,1.34,0,0,0,0,1.34,0,0,4.02,1.34,1.34,1.34,4.02,50.86,2.68,0,0,2.68,1.34,0,1.34,4.02,0,1.34
3Month,0,2.56,0.32,0.64,0,0,0,0.32,0.32,0.64,4.48,0,3.52,0,0,4.16,0.32,0,0,1.28,0,0,0,0,0,5.76,0,0,0.32,0.32
22Month,0,0.55,0,0,0,0,0.55,0,0,2.19,0.55,0,0,0.55,0.55,1.64,1.09,0,0,0,0,0.55,0.55,0,1.09,0,0.55,0,0,0
