stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,0,0,0,0
21Day,259.68,2.68,0,5.35,1.34,1.34,1.34,2.68,2.68,1.34,4.02,1.34,12.05,1.34,0,8.03,2.68,1.34,4.02,12.05,0,1.34,1.34,2.68,0,6.69
3Month,3.2,0,0.32,0,0.32,0,0.96,0,0,0,0.96,3.84,0,0,0,0,0,0,0,0,10.56,0,0,0,5.76,0
22Month,0.55,0,0,0,0,0,7.65,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0
