stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,4.02,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0.64,0.32,0.64,2.24,0.64,1.28,0,0.64,0.64,0.64,0.32,0.32,0,21.12,0,0.64,3.2
22Month,0.55,0,0,0.55,4.37,0,2.73,0,0,0,0.55,0,0,0,0.55,0.55,0,0
