stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,4.09,53.12,0,61.3,0,0,0,4.09,0,44.95,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,3.21,2.14,0,4.28,1.07,0,0,0,0,0,0,0,0,0,1.07,0,1.07,2.14,0,5.35,0,0,0,2.14,1.07,1.07,0,0,0,0,3.21,0,0,0,0,0,0,0
21Day,4.02,0,0,8.03,0,4.02,0,0,0,1.34,0,0,0,0,0,0,9.37,0,0,4.02,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,2.56,2.88,698.77,0,0,1.92,0.64,0,138.22,6.72,0,33.91,13.12,1.28,23.36,3.52,7.04,3.84,15.68,4.8,0,2.56,5.76,0.64,0,11.2,3.52,0,0.32,3.52,0.32,7.04,0.32,0,1.6,25.6,7.68
22Month,0,4.37,1.64,126.82,0,0,0.55,0,0.55,14.76,2.73,6.56,43.73,3.28,0,32.8,1.64,0.55,2.73,6.01,0.55,2.73,1.64,0,0,0,3.28,0,197.34,0,0,0,4.92,0,0,0,0,2.73
