stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,24.52,4.09,28.6,0,0,0,0,0,0,0,0,4.09,4.09,16.35,0,61.3,0,4.09,118.51,3865.74,16.35,0,8.17,0,0,0,0,0,4.09,0,0
72hpf,38.51,8.56,52.42,5.35,31.02,0,0,0,0,0,0,0,7.49,50.28,4.28,50.28,5.35,0,3866.23,800.2,8.56,0,74.89,4.28,0,106.98,1.07,1.07,4.28,0,0
21Day,17.4,2.68,18.74,0,2.68,1.34,0,0,1.34,0,12.05,0,1.34,10.71,6.69,30.79,0,0,706.75,125.82,6.69,1.34,4.02,21.42,0,18.74,0,8.03,0,0,5.35
3Month,0,0,0.96,0,0,0,0.32,0,1.28,0,0,0,0,0,0,0,0,0,1.6,1.28,0.64,0,0,0,0.64,0,0,0,0,0.32,0.32
22Month,0,0,0,0,0,0,1.09,0.55,11.48,0.55,0,1.09,0,0,1.64,1.09,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.55
