stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,12.84,0,0,0,1.07,0,0,0,0,0
21Day,5.35,0,0,18.74,0,0,1.34,0,0,0,2.68,0,0,46.85,0,2.68,0,2.68,1.34,0,0,0,0
3Month,0,0.64,0.32,16.64,0,0.32,1.92,1.28,2.88,0.32,0,4.16,1.28,1.28,0.32,1.28,0.32,0,0,1.28,0.32,2.88,1.28
22Month,0.55,0,3.28,3.83,1.09,0,2.19,1.64,19.68,2.19,0,24.6,0,0.55,0.55,2.19,0,0,0,1.09,0,0,1.09
