stage,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,1.07,0,0,0,0
21Day,0,0,2.68,0,0,1.34,2.68,1.34,0
3Month,0,0.32,0,0,0,0,0,0,0
22Month,0.55,0,0,1.09,0,0,0,0,0.55
