stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,4.28,0,0,135.86,6.42,0,0,2.14,0,1.07,0,0
21Day,0,5.35,1.34,0,0,0,0,1.34,0,0,0,1.34,5.35,81.65,2.68,2.68,1.34,1.34,2.68,2.68,2.68,0
3Month,0,0,0,0,0,0,0.32,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0
22Month,0,0.55,0,0.55,1.09,5.47,0,0,1.64,0.55,0,0,0.55,0.55,0,1.64,0,0,0,0,0,0.55
