stage,Immune_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,4.09,0
72hpf,0,4.28,0,0
21Day,0,1.34,0,0
3Month,0.32,0.32,0,0.32
