stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,1.07,4.28,0,0,0,0,0,1.07,0,0,0
21Day,0,0,10.71,13.39,0,1.34,0,1.34,0,0,0,85.67,4.02,0,1.34,2.68,6.69,0,1.34,1.34,0,6.69,0,0,1.34,1.34,4.02,0,5.35,0,0,109.76
3Month,1.6,0.32,9.6,0,1.92,0,0.96,5.44,0,7.68,4.16,14.08,2.24,0.64,4.16,13.44,5.44,0.64,0,0.96,1.28,1.28,0,1.92,0.96,0,2.88,5.12,0.32,1.92,3.2,261.08
22Month,2.19,1.09,3.28,0,1.09,0,1.09,4.37,1.09,32.25,1.09,11.48,2.19,1.09,2.19,46.47,6.01,0,2.73,1.09,0,1.09,0,0.55,0.55,0,2.73,0.55,2.73,0,0,156.34
