stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,1.07,3.21,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,1.34,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0,0.64,0,0,0.32,0,0,4.48,0.64,2.56,0,0.32,0,0,0,0.64,0.32,0,0,0,0,0,0,1.28,0,0,0.32,0.32,2.56,0
22Month,2.73,1.64,1.64,0,1.09,3.83,3.83,1544.85,51.39,2.19,20.77,0.55,1.09,4.92,3.28,1.09,0.55,1.09,0.55,0.55,1.09,2.19,3.83,0.55,2.19,0.55,0.55,0,1.09,0.55,0.55
