stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0
72hpf,23.54,1.07,6.42,1.07,19.26,0,0,0,0,1.07,0,0,0,3.21,21.4,9.63,9.63,5.35,0,2534.34,88.79,0,29.95,0,0,10.7,0,0,0,0,0
21Day,9.37,0,14.72,1.34,18.74,0,0,0,0,2.68,0,8.03,1.34,1.34,4.02,6.69,4.02,0,4.02,1156.49,18.74,1.34,6.69,28.11,0,2.68,4.02,8.03,2.68,0,0
3Month,0,0.32,1.6,0,0,0,0,0,0.32,1.92,0.32,0,3.2,0,0,0.64,0.64,0,0,8,0.32,0.32,0,0.32,2.56,0,0,0,1.6,0.64,0.64
22Month,0,1.09,2.73,0,0,0.55,0.55,2.19,3.28,25.69,1.64,0.55,2.73,0,0,1.64,1.64,0.55,0.55,35.53,0,0,0,0.55,1.64,1.09,0,0,4.92,0,0
