stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,4.09,0,0,0,0,0,0,36.78,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,1.07,1.07,5.35,0,0,0,38.51,3.21,0,0,11.77,0,0,0,0,0,0,0
21Day,0,0,0,0,0,4.02,0,0,1.34,0,0,0,0,2.68,0,0,1.34,10.71,0,0,0,16.06,0,0,0,0,0,0,2.68
3Month,0.96,0,2.56,0.64,0.96,15.04,2.88,11.52,0,0.96,0.32,0.32,9.28,15.68,2.88,0,0.64,0.32,0,0,1.28,5.44,0.32,0.32,0,0.32,0.64,0.64,6.08
22Month,1.64,0.55,3.83,1.09,0,54.67,13.67,2.19,0,1.09,0,1.09,12.03,38.27,0.55,2.19,0.55,0,0,1.09,8.75,6.01,0,0,0.55,0,0,0,2.19
