stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0
3Month,0.64,0,0,0.96,0,0.32,0.96,0.32,0.32,0,0.32,2.88,0.64
22Month,0,0,0,1.09,1.09,0,0,0,0,0,0,8.75,0
