stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,4.09,8.17,0,0,53.12,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,9.63,0,0,0,1.07,0,3.21,6.42,1.07,4.28,0,31.02,4.28,0,4.28,0,1.07,0,0,0,0
21Day,1.34,1.34,0,0,0,0,0,1.34,0,0,0,0,2.68,0,14.72,1.34,0,4.02,4.02,0,0,0,0,0
3Month,0,0,0,3.84,0.96,2.56,0.96,0,0.64,0.32,0.32,0.96,0.96,0.32,0.96,0.32,0.32,0,97.26,0,0.32,0.32,63.35,0.32
22Month,0,0,0.55,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,16.95,0,0,0,0.55,0
