stage,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,8.56,1.07,0,0,0,0,3.21,4.28
21Day,0,0,0,0,1.34,1.34,0,0,1.34,1.34,1.34,0,1.34
22Month,0.55,3.28,0,0.55,0,0,0,0.55,0,1.09,0,0,0
