stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,4.09,0,4.09,85.81,0,0
72hpf,1.07,0,1.07,0,0,0,2.14,0,0,1.07,1.07,0
21Day,1.34,0,0,0,0,0,6.69,1.34,0,1.34,0,0
3Month,0,0.64,0,0.32,0.32,0.32,0.32,0,0,0,0,0
22Month,0,0,0,0,5.47,1.09,0.55,0,0,0,0,0.55
