stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,2.14,0,0,0
3Month,0,0.64,1.92,14.08,0.32,1.92,5.44,41.91,8,0,15.68,1.6,4.48,4.48,5.76,0.64,0.32,1.28,2.24,1.28,0.64,0.96,0.96,3.84,218.21,0.32,0.32,0,2.56,1532.56,6.08
22Month,0,0,0,0,0,0.55,1.09,8.2,0,0.55,5.47,0,0,0,0.55,0,0.55,0.55,0.55,0,0,0,0,0.55,82.54,0,0,0,0,2.19,0
