stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,32.69,12.26,0,294.22,8.17,0,0,0,0,0,0,0,8.17,8.17,4.09,1107.42,0,269.7,2513.14,0,0,85.81,0,0,0,0,12.26,0,0
72hpf,20.33,4.28,0,13.91,3.21,35.3,0,0,1.07,0,0,0,7.49,44.93,1.07,509.22,10.7,786.3,186.14,1.07,1.07,87.72,0,0,25.67,2.14,1.07,0,0
21Day,8.03,0,0,8.03,1.34,13.39,1.34,0,0,0,1.34,1.34,0,2.68,2.68,132.51,13.39,53.54,17.4,0,6.69,14.72,4.02,1.34,1.34,1.34,2.68,0,0
3Month,0,0,0.64,4.8,0,0,0.64,0.32,0.64,0.64,0,0.96,0,0,0.32,2.88,0.32,0.96,0,0,0,0,0,5.12,0,0,0,0.64,0.64
22Month,0,0.55,0,0.55,0,0,0,0,0,4.92,0,0,0,0,0,1.09,0,0,0,0,0,0,0.55,8.2,0,0,0,0,0
