stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,2.14,0
3Month,0.32,0,0,0,0.32,0.32,0,0.32,1.92,0
22Month,0,1.09,0.55,4.37,0,0,0.55,0,47.01,0.55
