stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,1.07,3.21,1.07,0,0
21Day,1.34,0,0,1.34,0,1.34,0,0,0,0
3Month,0,0,0.32,0,0,0,0,0,0.32,0.32
22Month,0,1.64,0,0,0,0,0,0,0,0
