stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,14.98,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,16.06,0,0,0,0
3Month,0,0.32,4.8,0.64,0.64,5.76,0.32,0.96,0.64,0.32,0.64,0,0,0.32,0.32,0,0,29.12,4.8,0.32,0.96,0
22Month,1.64,0,4.37,0,2.19,19.68,0,2.73,0.55,1.64,2.19,0.55,1.09,0,0,0,0,29.52,1.09,0,0,0.55
