stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,13.91,2.14,0,2.14,2.14,0,0,0,0,2.14,8.56,0,0,0,0,1.07,9.63,9.63,0,1.07,3.21,0,0,0,0,0,0
21Day,4.02,0,0,1.34,1.34,0,0,0,0,1.34,0,0,2.68,0,1.34,0,4.02,0,0,0,0,1.34,0,0,0,0,0
3Month,0.96,1.6,0.32,3.84,0,0.32,3.2,0.64,1.28,1.28,0.96,0.96,0.96,0.96,0,13.12,0,0,0,1.6,0.64,0.32,8.96,0.32,0.32,3.2,0.96
22Month,0,1.09,0,0.55,0,0,4.92,0,0.55,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
