stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Immune_cell,Ionocyte,Neural_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,0,0,0,12.26,0
72hpf,0,0,0,0,0,11.77,0,0
21Day,1.34,1.34,0,0,0,10.71,0,0
3Month,0,0,0.32,0.32,0.32,0,0,0.32
