stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,187.97,0,0,0,0,0,0,0,4.09,0,0,4.09,44.95,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,3.21,0,0,1.07,55.63,7.49,2.14,1.07,6.42,2.14,0,2.14,2.14,0,0,1.07,0,0
21Day,0,4.02,4.02,1.34,4.02,0,0,0,8.03,8.03,1.34,0,0,1.34,0,0,0,4.02,0,1.34,0,2.68
3Month,0,1.28,0,0,0,0,0,0,0.32,0,0.64,0,0,0,0.32,0,0,5.76,0,0,0.32,0
22Month,0,1.64,0,0,0.55,25.69,0.55,0,1.09,0.55,1.64,0,0,0,0,0,0,8.2,0.55,0,0,0
