stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,4.28,1.07,1.07,0
21Day,1.34,1.34,1.34,0,1.34,0,1.34,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0,0,0,0,0,0.32,0,0,0,0,0,0,0.32
22Month,0,2.19,0,0.55,0,2.19,6.56,0,0.55,1.64,1.09,0,0,0,0
