stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0.32,9.6,0,1.92,1.6,2.56,0.64,0.32,17.92,0.96,2.56,1.6,1.28,0,0.32,0.32,0,0,0,0.96,0.64,0.64
22Month,0.55,1.64,5.47,0.55,0.55,2.19,28.43,0.55,0.55,21.32,0.55,1.64,2.73,2.73,1.09,0,0,0,1.09,0.55,0,0,2.19
