stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,8.56,796.99,0,8.56,0,0,0,0,4.28,0,0,7.49,2.14,3.21,0,1.07,0,0,18.19,9.63,0,0,5.35,0,0,0,2.14,0,1.07,0,0,0,0
21Day,5.35,0,0,8.03,629.11,0,46.85,0,0,1.34,0,33.46,1.34,1.34,5.35,44.17,8.03,0,0,1.34,0,20.08,0,0,0,1.34,24.09,0,0,0,1.34,5.35,0,0,0,123.15
3Month,0.64,2.88,0.32,11.84,0,14.08,15.04,1.6,14.72,14.4,207.97,4.16,6.08,3.2,3.52,37.43,4.8,1.6,0.32,1.28,1.28,0.64,0,0.32,0.64,0.64,1.6,0.32,5.12,0,0.32,0,0.32,1.92,3.2,399.3
22Month,1.09,0.55,0,2.73,0,3.83,4.92,0,6.56,12.57,24.05,2.73,2.73,0.55,0,14.21,1.09,0,0.55,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,94.02
