stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,8.17,0,8.17,4.09,0,0,4.09,69.47,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,6.42,1.07,0,27.81,16.05,0,0,4.28,0,0,2.14,0,0,0,0,0
21Day,1.34,0,0,5.35,1.34,6.69,0,1.34,0,1.34,0,4.02,0,0,1.34,0,5.35,0,0,14.72,12.05,0,0,4.02,1.34,0,0,1.34,2.68,1.34,0,0
3Month,0,0.32,0.32,3.52,0,0,0.32,0.96,0,5.12,0,0.32,0.96,0,6.08,1.6,2.24,0,0.32,0.64,0,0.32,0.32,0.32,0,6.08,0,0,0.32,2.56,36.79,0.64
22Month,0,1.09,0.55,0.55,0,0,0.55,2.73,1.09,33.89,1.64,2.19,0,0.55,0,4.37,2.19,0.55,1.09,0.55,0,0.55,0.55,0,0,1.09,0.55,0,0,0,0.55,0.55
