stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,8.17,0,0,0,0,0,8.17,0,0
72hpf,0,0,0,0,0,1.07,0,0,0
3Month,0,0.64,19.52,0.32,0,0,0,0.64,0.64
22Month,0,0,12.57,0.55,0.55,0,0,0,0
