stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,3.21,0,5.35,0,1.07,0,0,0,0,0,0,0,0,7.49,0,4.28,0,0,0,8.56,3.21,3.21,2.14,0,0,0,0
21Day,1.34,0,1.34,12.05,2.68,2.68,1.34,1.34,0,0,0,0,0,1.34,8.03,1.34,4.02,0,0,0,5.35,4.02,2.68,1.34,0,0,0,0
3Month,0,0.64,0,5.76,0,0,0,1.92,5.76,0,3.2,0.64,2.24,0.32,1.92,3.2,1.28,0.64,0.64,3.52,0.32,0,0,0.64,0.64,0.32,0.96,0.64
22Month,0,0.55,0,2.19,0,0,0,0,15.31,1.64,10.93,2.19,2.73,0,1.64,3.28,0.55,0,1.64,0,0,0,0,0,0,0,0,0
