stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,2.14,1.07,0,2.14,0,0,0,0,0,1.07,1.07,1.07,2.14,0,50.28,6.42,0,3.21,0,0,0,0
21Day,2.68,0,1.34,4.02,0,0,0,1.34,1.34,0,1.34,2.68,5.35,1.34,13.39,4.02,0,0,0,1.34,0,0
3Month,0,0,1.28,0,0.32,0.64,0.32,0,0.32,0.32,0,0,0.96,0,0,0,0.32,0,0.64,0,0.32,0.32
22Month,0,1.09,0,0,1.64,8.2,0,0,0.55,0,0,0.55,1.09,0,0,0,0,0,0,0,0,0
