stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,23.54,23.54,1.07,0,3.21,0,5.35,0,0,0,1.07,0,0
21Day,1.34,0,0,1.34,1.34,1.34,0,10.71,13.39,10.71,0,5.35,2.68,0,1.34,0,1.34,1.34,0,0
3Month,0,0.32,0.64,0,0,0,0.32,1.92,0.64,0,0.32,0,0,0,0,2.88,0,0,0.96,0.32
22Month,0,0,1.64,0,0,0,2.19,0,1.09,0,0,0,0,0,0,1.09,0,0.55,0.55,0
