stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,1.34,0,0,0,4.02,0,0,0,1.34,0,0,0,0,17.4
3Month,0.32,1.28,0.32,0,0.32,1.28,0.96,0.64,0.64,0.96,1.92,0,0,0.64,0.32,1.28,59.51
22Month,0,0,0,0,0,2.73,0.55,0,0.55,0,0.55,0,1.09,0,0,0,14.76
