stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.32,0.32,0.32,2.24,0.64,0.64,0.32,0.64,0.32,0.32,0.64,0,22.4,0.32,30.08
22Month,0,0,0,1.09,0.55,0,0,0,0,0,0,0,10.39,0,0
