stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,85.81,53.12,253.36,8.17,4.09,0,0,0,0,28.6,0,0,0,0,20.43,44.95,36.78,972.56,0,0,0,0,110.33,9958.57,4.09,0,196.15,0,0,0,0,0,24.52,0,0,0
72hpf,70.61,20.33,121.96,16.05,42.79,0,0,0,0,0,0,0,0,0,53.49,103.77,5.35,620.48,0,6.42,7.49,0,2231.58,1875.34,2.14,20.33,743.5,6.42,1.07,241.77,2.14,7.49,19.26,0,0,0
21Day,44.17,0,257,2.68,38.82,6.69,0,0,1.34,0,5.35,1.34,16.06,8.03,44.17,54.88,16.06,623.76,0,0,24.09,1.34,657.22,629.11,1.34,4.02,286.45,46.85,0,66.93,12.05,13.39,13.39,0,0,8.03
3Month,0,0,18.88,0.32,0,0,0,0,0.96,0,4.16,0.32,0.64,0.96,3.2,10.88,0.64,11.84,3.52,0,0.64,0.32,0.96,0.64,0,0.64,0.32,0.32,6.08,0,0,0,0.64,3.52,1.92,0.64
22Month,0,0,9.84,0,0,0,0.55,0.55,1.64,0,10.93,0,0,0.55,0,0.55,1.09,13.12,0,0.55,0.55,0,0.55,0.55,0,1.09,0,0.55,1.64,0,0,0,0,0,0,0
