stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,0,0,10.7,1.07,1.07,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0
3Month,0.32,11.2,0.96,0,0.64,0,0.64,0.32,0.96,0,0,0,0.32,0,0.32,0,0,0.96,0,0,0.32,7.68,0,2.24,0.32
22Month,1.09,0.55,0.55,0.55,6.56,1.09,7.65,1.09,1.64,0.55,1.09,1.64,1.64,0.55,0,0,0,0,281.53,0,0,5.47,0.55,0,1.09
