stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,75.96,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,120.47,0,28.11,0,0,0,0,0,1.34,0,2.68,0,1.34,0,0,0,0,0,2.68,5.35,0,1.34,0,0,0
3Month,1.92,0,0.64,0.32,1.28,0.64,0,0.96,1.28,0,0.32,0.96,0,1.28,0.32,0.32,0.32,0,0,0,0,2.24,0,0.32,0.64,0.32
22Month,2.73,0,1.09,7.11,1.09,6.56,0.55,8.2,1.64,1.09,0,1.09,3.83,1.09,0,0,0,1.09,0.55,0,0,0,0,0,0,0
