stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,69.47,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0
72hpf,4.28,0,5.35,0,4.28,0,0,0,0,0,0,0,4.28,20.33,1.07,3.21,0,493.17,10.7,0,5.35,0,0,3.21,4.28,1.07,1.07
21Day,0,0,1.34,6.69,2.68,0,0,0,0,0,1.34,0,1.34,1.34,0,0,0,82.99,1.34,0,0,4.02,0,0,1.34,0,0
3Month,0,0,0.32,0.32,0,0.32,0.32,0,0,1.6,0,0,0,0.32,0,0,0,0.96,0,0,0,0,0.32,0,0,0,0
22Month,1.09,0.55,0,0.55,0,0,1.09,1.09,1.09,15.85,0,1.09,0,0,1.09,0,0.55,0,0,1.09,0,0,1.09,0,0,0,0
