stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,110.33,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,73.56,0,0,4.09,126.68,0,16.35,0,0,0,0,0,0,0,0
72hpf,21.4,0,3.21,0,0,0,0,0,0,0,0,0,7.49,0,50.28,0,0,6.42,7.49,0,105.91,0,0,4.28,1.07,10.7,0,0,0
21Day,24.09,0,14.72,1.34,1.34,1.34,0,0,0,1.34,2.68,0,1.34,0,70.94,1.34,0,9.37,5.35,0,120.47,8.03,0,0,0,10.71,0,0,2.68
3Month,0,0,5.12,0,0,0,0.32,0.64,0.32,0,0.96,0,0.96,0.32,19.52,0,0.32,0,0,0,0,0.32,0.96,0,0,0.32,0.96,0.32,0.64
22Month,1.64,1.64,0.55,0,0,0,1.09,4.92,0,0.55,0.55,0,0,0,25.69,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0
