stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,44.95,0,0,0,0,0
72hpf,3.21,0,2.14,0,0,0,0,0,0,2.14,4.28,3.21,9.63,7.49,2.14,1.07,0,0,0
21Day,4.02,0,4.02,0,0,0,0,2.68,0,0,2.68,5.35,5.35,2.68,1.34,0,1.34,0,4.02
3Month,0,0.32,0,0.64,0,0,0.32,0,0,0,0.64,0.32,0,0,0.32,0,0,0.64,0.32
22Month,0,0,0,0,1.09,9.29,1.64,0,1.09,0,0.55,0.55,0,0,0,0,0.55,0,0.55
