stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,0,0,55.63,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,24.09,2.68,0,0,1.34,0,0
3Month,0,0,0,0,0,0.32,0.64,0,0,0.32,0.32,0.32,0.32,0,0,0,0,0.32,0,0,0,0
22Month,0,0.55,0,0.55,0.55,1.09,20.23,1.64,0.55,1.64,0,1.09,0.55,0.55,0.55,0,0,0.55,0.55,0,0.55,0.55
