stage,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,4.09,4.09,0,0,0
72hpf,1.07,0,0,2.14,20.33,0,0,2.14,0,0
21Day,0,6.69,1.34,2.68,10.71,2.68,0,4.02,1.34,1.34
