stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
24hpf,4.09,8.17,0,0,0,0,0,0,0,0,4.09,28.6,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,1.07,100.56,4.28,3.21,0,0,1.07,0
21Day,1.34,1.34,0,2.68,1.34,1.34,2.68,5.35,1.34,2.68,88.34,4.02,1.34,2.68,0,8.03,37.48
3Month,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0.32,0,0
